Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
Anorexia/Bulima,Schizoaffective Disorder,105,53,0.493,0.311,0.0036,0.823,0.149,0.486,0.137,0.0289,Female,0.182
Anorexia/Bulima,Schizoaffective Disorder - Relative,105,48,0.493,0.366,0.24958,0.547,-0.143,0.202,0.06,0.5634,Female,0.127
Anorexia/Bulima,SCZ,105,315,0.493,0.366,0.016,0.502,0.058,0.28,0.082,0.0865,Female,0.127
Anorexia/Bulima,SCZ-Relative,105,138,0.493,0.391,0.16398,0.435,-0.076,0.18,0.053,0.4512,Female,0.103
Anorexia/Bulima,SMC,105,59,0.493,0.467,0.61354,0.405,-0.238,0.084,0.023,1,Female,0.026
Anorexia/Bulima,SPECIFIC PHOBIA,105,159,0.493,0.416,0.79332,0.28,-0.215,0.032,0.01,1,Female,0.077
Anorexia/Bulima,Subacute Pain,105,28,0.493,0.43,0.86131,0.457,-0.384,0.037,0.011,1,Female,0.063
Anxiety/Phobia,ASD,1039,381,0.479,0.506,0.61494,0.089,-0.146,-0.028,-0.008,1,Female,-0.027
Anxiety/Phobia,Attention & Learning difficulty,1039,99,0.479,0.205,0.0002,0.805,0.389,0.597,0.17,0.004,Female,0.274
Anxiety/Phobia,BD,1039,111,0.479,0.497,0.73853,0.162,-0.23,-0.034,-0.01,1,Female,-0.018
Anxiety/Phobia,BIPOLAR/PSYCH-RELATIVE,1039,47,0.479,0.515,0.76992,0.253,-0.332,-0.04,-0.011,1,Female,-0.036
Anxiety/Phobia,Chronic Pain,1039,63,0.479,0.48,0.78812,0.219,-0.29,-0.036,-0.01,1,Female,-0.002
Anxiety/Phobia,DEMENTIA - LBD,1039,21,0.479,0.479,0.9909,0.441,-0.424,0.008,0.002,1,Female,0
Anxiety/Phobia,EMCI,1039,139,0.479,0.408,0.08399,0.335,-0.02,0.158,0.045,0.2871,Female,0.071
Anxiety/Phobia,LMCI,1039,216,0.479,0.477,0.72753,0.173,-0.12,0.027,0.008,1,Female,0.002
Anxiety/Phobia,MCI,1039,253,0.479,0.466,0.93431,0.142,-0.133,0.004,0.001,1,Female,0.013
Anxiety/Phobia,MCI-Risk,1039,0,0.479,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
Anxiety/Phobia,MDD,1039,3461,0.479,0.492,0.41936,0.041,-0.098,-0.028,-0.008,0.8333,Female,-0.013
Anxiety/Phobia,ND,1039,100,0.479,0.306,0.0004,0.613,0.201,0.407,0.116,0.0066,Female,0.173
Anxiety/Phobia,OCD,1039,74,0.479,0.495,0.63714,0.179,-0.293,-0.057,-0.016,1,Female,-0.016
Anxiety/Phobia,Other,1039,117,0.479,0.519,0.60254,0.14,-0.242,-0.051,-0.014,0.9971,Female,-0.04
Anxiety/Phobia,OTHER,1039,56,0.479,0.276,0.0046,0.669,0.129,0.399,0.115,0.0339,Female,0.203
Anxiety/Phobia,Other Psychiatric,1039,111,0.479,0.394,0.07839,0.37,-0.022,0.174,0.049,0.2783,Female,0.085
Anxiety/Phobia,PD,1039,67,0.479,0.56,0.26697,0.108,-0.386,-0.139,-0.039,0.5884,Female,-0.082
Anxiety/Phobia,SAD,1039,150,0.479,0.47,0.9789,0.173,-0.169,0.002,0.001,1,Female,0.009
Anxiety/Phobia,Schizoaffective Disorder,1039,53,0.479,0.311,0.0006,0.761,0.207,0.484,0.137,0.0087,Female,0.168
Anxiety/Phobia,Schizoaffective Disorder - Relative,1039,48,0.479,0.366,0.15878,0.499,-0.081,0.209,0.06,0.4434,Female,0.113
Anxiety/Phobia,SCZ,1039,315,0.479,0.366,0.0002,0.412,0.158,0.285,0.081,0.004,Female,0.113
Anxiety/Phobia,SCZ-Relative,1039,138,0.479,0.391,0.0422,0.362,0.006,0.184,0.052,0.1752,Female,0.088
Anxiety/Phobia,SMC,1039,59,0.479,0.467,0.55054,0.341,-0.184,0.079,0.022,0.9377,Female,0.012
Anxiety/Phobia,SPECIFIC PHOBIA,1039,159,0.479,0.416,0.71673,0.199,-0.135,0.032,0.009,1,Female,0.063
Anxiety/Phobia,Subacute Pain,1039,28,0.479,0.43,0.84592,0.412,-0.34,0.036,0.01,1,Female,0.049
ASD,Attention & Learning difficulty,381,99,0.506,0.205,0.0002,0.8,0.351,0.576,0.178,0.004,Female,0.301
ASD,BD,381,111,0.506,0.497,0.9657,0.208,-0.216,-0.004,-0.001,1,Female,0.009
ASD,BIPOLAR/PSYCH-RELATIVE,381,47,0.506,0.515,0.9581,0.294,-0.313,-0.01,-0.003,1,Female,-0.009
ASD,Chronic Pain,381,63,0.506,0.48,0.9711,0.261,-0.273,-0.006,-0.002,1,Female,0.025
ASD,DEMENTIA - LBD,381,21,0.506,0.479,0.87531,0.474,-0.407,0.033,0.011,1,Female,0.027
ASD,EMCI,381,139,0.506,0.408,0.07859,0.368,-0.021,0.174,0.053,0.2783,Female,0.098
ASD,LMCI,381,216,0.506,0.477,0.53615,0.22,-0.115,0.052,0.016,0.9271,Female,0.029
ASD,MCI,381,253,0.506,0.466,0.71653,0.189,-0.129,0.03,0.01,1,Female,0.04
ASD,MCI-Risk,381,0,0.506,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ASD,MDD,381,3461,0.506,0.492,0.9971,0.106,-0.105,0.001,0,1,Female,0.014
ASD,ND,381,100,0.506,0.306,0.0008,0.62,0.176,0.398,0.125,0.0109,Female,0.2
ASD,OCD,381,74,0.506,0.495,0.84732,0.224,-0.275,-0.026,-0.008,1,Female,0.011
ASD,Other,381,117,0.506,0.519,0.85071,0.187,-0.228,-0.02,-0.006,1,Female,-0.013
ASD,OTHER,381,56,0.506,0.276,0.0074,0.668,0.103,0.385,0.123,0.0465,Female,0.23
ASD,Other Psychiatric,381,111,0.506,0.394,0.07959,0.4,-0.024,0.188,0.057,0.2783,Female,0.112
ASD,PD,381,67,0.506,0.56,0.44736,0.159,-0.362,-0.101,-0.031,0.8814,Female,-0.054
ASD,SAD,381,150,0.506,0.47,0.76432,0.219,-0.16,0.029,0.009,1,Female,0.036
ASD,Schizoaffective Disorder,381,53,0.506,0.311,0.0012,0.761,0.181,0.471,0.145,0.0133,Female,0.195
ASD,Schizoaffective Disorder - Relative,381,48,0.506,0.366,0.16018,0.518,-0.085,0.217,0.068,0.4434,Female,0.14
ASD,SCZ,381,315,0.506,0.366,0.0002,0.445,0.144,0.295,0.09,0.004,Female,0.14
